zcmb,zhel,mb,e_mb,x1,e_x1,c,e_c,logMst
0.16,0.161,20.411,0.113,-0.149,0.158,0.006,0.027,5.0
0.113,0.114,19.114,0.112,1.734,0.521,-0.072,0.026,9.42
0.251,0.252,21.936,0.12,-1.339,0.584,0.082,0.047,10.996
0.267,0.268,21.207,0.116,0.323,0.313,-0.097,0.037,10.459
0.18,0.1807,21.152,0.12,0.48,0.538,0.093,0.039,9.975
0.203,0.204,20.759,0.115,-0.819,0.24,-0.109,0.034,5.0
0.182,0.1829,20.681,0.116,-0.237,0.268,0.036,0.034,10.532
0.153,0.154,20.209,0.114,0.894,0.206,0.036,0.027,10.731
0.281,0.282,21.439,0.118,0.315,0.405,-0.045,0.044,10.623
0.236,0.2374,21.462,0.118,-1.554,0.441,-0.095,0.041,11.103
0.18,0.1805,20.568,0.114,0.28,0.209,0.03,0.028,10.119
0.256,0.2571,21.318,0.12,-0.075,0.43,-0.007,0.043,11.229
0.307,0.308,21.832,0.127,0.154,0.525,-0.045,0.052,10.803
0.252,0.253,21.587,0.118,-0.624,0.491,0.066,0.043,10.556
0.364,0.365,22.06,0.128,-0.049,0.702,-0.171,0.056,10.679
0.192,0.193,20.644,0.114,0.396,0.285,-0.087,0.029,10.194
0.174,0.175,20.351,0.119,0.026,0.324,0.015,0.033,10.482
0.144,0.1447,20.046,0.112,0.911,0.123,0.038,0.022,10.129
0.202,0.203,20.556,0.117,0.781,0.308,-0.064,0.036,9.304
0.241,0.242,21.006,0.116,0.329,0.264,-0.141,0.037,10.417
0.362,0.363,22.096,0.133,0.32,0.77,-0.063,0.054,10.273
0.165,0.1655,20.244,0.113,0.152,0.191,-0.023,0.027,11.215
0.177,0.178,20.736,0.114,-0.296,0.205,0.025,0.03,9.039
0.245,0.246,21.379,0.12,-1.314,0.333,-0.086,0.046,10.306
0.279,0.2796,21.448,0.118,-0.186,0.425,-0.122,0.041,10.232
0.311,0.312,21.86,0.123,0.212,0.705,-0.034,0.05,10.609
0.247,0.248,21.057,0.115,-0.146,0.373,-0.154,0.036,10.809
0.148,0.148,19.597,0.112,0.676,0.123,-0.181,0.022,10.336
0.3,0.3011,21.707,0.119,-0.087,0.42,0.033,0.045,10.469
0.292,0.293,21.508,0.124,1.181,0.55,-0.005,0.046,10.19
0.248,0.2495,21.203,0.117,-0.285,0.307,-0.054,0.041,10.744
0.09,0.091,18.819,0.124,0.317,0.21,0.027,0.033,9.647
0.258,0.2593,21.62,0.12,0.244,0.475,0.041,0.047,11.196
0.157,0.1576,20.298,0.113,1.04,0.163,0.088,0.027,10.648
0.126,0.127,19.89,0.158,-0.332,0.315,-0.012,0.044,10.193
0.078,0.0794,19.24,0.114,0.643,0.149,0.111,0.024,10.562
0.136,0.1369,20.059,0.114,-0.348,0.145,0.06,0.027,11.041
0.194,0.195,21.065,0.118,-0.393,0.35,0.052,0.038,9.122
0.192,0.193,21.202,0.115,0.146,0.431,0.036,0.032,10.829
0.156,0.157,20.146,0.113,0.344,0.223,-0.032,0.025,5.0
0.277,0.2786,21.899,0.128,-1.043,0.574,-0.012,0.06,10.689
0.339,0.34,21.773,0.13,1.761,0.687,-0.077,0.052,9.382
0.198,0.199,20.775,0.115,0.03,0.256,-0.041,0.03,9.669
0.211,0.2124,21.204,0.116,0.088,0.382,0.12,0.035,10.314
0.174,0.1752,20.51,0.113,0.047,0.248,0.017,0.027,10.337
0.195,0.196,20.368,0.114,1.18,0.2,0.011,0.028,9.536
0.076,0.0769,18.228,0.112,1.204,0.103,-0.104,0.022,10.732
0.045,0.0459,17.323,0.111,0.74,0.026,-0.028,0.012,10.554
0.174,0.1749,20.452,0.112,-0.746,0.18,-0.098,0.026,11.26
0.129,0.13,19.929,0.114,-1.683,0.335,-0.032,0.03,10.95
0.196,0.1969,20.704,0.113,2.031,0.369,0.023,0.026,10.365
0.114,0.1151,19.173,0.113,-0.192,0.593,-0.086,0.027,8.332
0.214,0.215,21.111,0.118,0.569,0.818,0.035,0.041,10.213
0.092,0.0935,18.939,0.122,0.665,0.266,-0.025,0.032,10.581
0.242,0.243,21.801,0.122,-0.2,0.626,0.139,0.046,10.402
0.16,0.1615,20.254,0.114,1.392,0.194,0.081,0.028,11.15
0.191,0.192,20.425,0.113,0.948,0.198,-0.046,0.025,9.965
0.134,0.135,19.608,0.112,0.883,0.104,-0.059,0.022,9.879
0.08,0.081,19.02,0.112,-0.069,0.085,0.07,0.021,10.081
0.234,0.235,20.863,0.119,1.013,0.666,-0.07,0.043,5.0
0.164,0.165,20.274,0.114,-1.408,0.376,-0.106,0.03,10.761
0.16,0.1611,20.351,0.113,-0.522,0.181,0.021,0.025,9.724
0.114,0.115,19.719,0.113,1.053,0.621,0.04,0.03,10.477
0.055,0.056,18.011,0.113,-1.889,0.176,-0.035,0.023,10.408
0.315,0.316,21.289,0.119,0.849,0.677,-0.092,0.04,8.777
0.37,0.3715,21.893,0.139,-0.648,0.65,-0.195,0.063,11.162
0.19,0.1908,20.95,0.114,-0.538,0.377,0.068,0.029,10.377
0.164,0.1647,20.518,0.114,-0.753,0.213,0.057,0.031,10.709
0.059,0.0592,18.196,0.111,-2.366,0.118,-0.044,0.018,11.323
0.228,0.229,21.001,0.116,-0.794,0.516,-0.088,0.041,5.0
0.238,0.239,20.859,0.116,0.664,0.28,-0.124,0.037,10.134
0.108,0.1086,19.592,0.112,0.014,0.281,0.032,0.024,10.73
0.313,0.314,21.595,0.118,0.721,0.599,-0.088,0.044,8.394
0.184,0.1854,20.642,0.113,0.175,0.256,-0.044,0.026,10.149
0.123,0.1241,19.555,0.13,-1.341,0.599,-0.08,0.03,11.407
0.169,0.17,20.89,0.116,-2.457,0.261,0.016,0.037,10.655
0.331,0.332,21.963,0.126,0.245,0.637,-0.056,0.054,8.717
0.269,0.27,21.597,0.118,0.139,0.489,-0.048,0.042,5.0
0.106,0.1073,19.225,0.112,0.75,0.12,-0.003,0.021,10.69
0.366,0.367,22.136,0.137,-0.146,0.829,-0.111,0.068,10.504
0.174,0.175,20.243,0.113,0.12,0.189,-0.05,0.024,10.71
0.096,0.097,19.773,0.113,-2.31,0.224,0.07,0.025,9.507
0.164,0.1656,20.26,0.113,0.523,0.188,0.006,0.024,9.373
0.217,0.218,20.71,0.115,0.902,0.254,-0.109,0.035,8.005
0.331,0.3324,22.092,0.136,0.953,0.714,0.091,0.058,8.479
0.119,0.1198,20.542,0.127,-2.724,0.288,0.255,0.048,10.684
0.25,0.2517,21.338,0.116,1.418,0.338,-0.03,0.035,9.042
0.287,0.288,21.605,0.12,0.478,0.548,-0.121,0.043,9.203
0.064,0.0653,18.348,0.113,-1.202,0.187,0.01,0.025,10.531
0.267,0.268,21.323,0.121,0.941,0.406,-0.044,0.046,10.406
0.044,0.0454,17.546,0.114,-0.162,0.047,0.091,0.023,10.513
0.298,0.299,21.846,0.131,-2.485,0.545,-0.059,0.058,9.519
0.192,0.193,20.741,0.114,-0.019,0.551,-0.026,0.032,8.82
0.211,0.212,21.023,0.116,1.12,0.32,-0.031,0.038,10.533
0.085,0.0864,18.765,0.112,-0.145,0.071,-0.043,0.02,10.395
0.075,0.076,18.412,0.11,0.684,0.053,-0.014,0.014,10.182
0.037,0.0381,18.13,0.114,-2.863,0.216,0.229,0.02,5.0
0.123,0.124,19.618,0.112,-0.347,0.127,-0.038,0.024,9.842
0.19,0.1914,20.633,0.114,1.126,0.267,-0.039,0.03,10.957
0.215,0.216,20.73,0.114,1.114,0.263,-0.025,0.032,10.047
0.227,0.228,21.439,0.119,-1.55,0.369,0.033,0.043,10.711
0.22,0.2211,20.944,0.115,-0.088,0.258,-0.068,0.035,10.585
0.063,0.0628,18.04,0.112,1.183,0.077,0.041,0.023,9.74
0.199,0.2,20.49,0.114,1.032,0.297,-0.098,0.027,5.0
0.246,0.247,21.152,0.115,0.07,0.489,-0.048,0.038,9.565
0.107,0.1085,19.338,0.112,0.164,0.126,0.066,0.021,10.139
0.244,0.2449,20.935,0.113,-0.241,0.208,-0.162,0.032,10.944
0.187,0.188,21.077,0.114,-1.441,0.374,0.066,0.033,10.876
0.114,0.1149,19.675,0.112,-0.735,0.133,0.06,0.022,10.764
0.205,0.206,20.719,0.115,-0.64,0.227,-0.112,0.035,10.443
0.227,0.228,21.068,0.116,-0.246,0.366,-0.04,0.036,8.902
0.135,0.1363,20.462,0.113,0.9,0.204,0.128,0.027,10.399
0.156,0.157,20.174,0.112,-0.035,0.126,0.025,0.022,10.454
0.264,0.2654,21.372,0.118,0.532,0.42,-0.029,0.047,8.822
0.197,0.198,20.999,0.119,-0.446,0.294,-0.03,0.037,9.567
0.188,0.189,21.112,0.118,-0.57,0.692,0.149,0.045,10.772
0.281,0.282,21.478,0.123,1.523,0.427,0.03,0.041,9.919
0.083,0.0843,19.386,0.115,-1.832,0.188,0.036,0.027,10.955
0.107,0.108,19.481,0.113,-0.107,0.203,-0.004,0.024,10.509
0.072,0.0728,18.172,0.158,-1.467,0.368,-0.121,0.058,10.813
0.145,0.146,20.257,0.112,0.723,0.185,-0.007,0.024,9.779
0.117,0.1178,19.419,0.113,-0.021,0.161,-0.066,0.023,9.011
0.171,0.172,20.557,0.115,1.82,0.284,0.15,0.031,10.466
0.232,0.233,21.099,0.119,0.772,0.519,0.035,0.039,9.324
0.264,0.265,21.267,0.116,-1.685,0.524,-0.111,0.043,5.0
0.219,0.22,20.967,0.115,-0.944,0.214,-0.049,0.034,10.15
0.199,0.2,20.711,0.116,-0.007,0.254,-0.084,0.035,9.139
0.249,0.25,21.128,0.116,0.28,0.43,-0.097,0.038,5.0
0.254,0.255,21.278,0.121,0.393,0.369,-0.055,0.044,11.019
0.246,0.247,21.379,0.118,0.725,0.491,0.061,0.044,11.334
0.145,0.1468,20.283,0.114,-1.607,0.676,0.075,0.033,9.291
0.257,0.258,21.307,0.126,0.116,0.663,-0.081,0.049,8.871
0.213,0.214,21.246,0.117,0.141,0.294,0.014,0.039,9.741
0.186,0.187,20.774,0.114,-0.17,0.214,0.045,0.03,5.0
0.223,0.2247,20.942,0.116,0.634,0.288,-0.045,0.036,10.904
0.234,0.2352,20.793,0.116,1.185,0.581,-0.092,0.036,11.563
0.246,0.2477,21.075,0.115,0.625,0.246,-0.078,0.035,10.462
0.364,0.366,22.3,0.132,0.66,0.838,-0.102,0.06,11.25
0.221,0.2221,21.521,0.12,-2.265,0.354,0.085,0.048,10.5
0.246,0.247,21.092,0.116,0.081,0.567,0.053,0.041,8.864
0.151,0.152,20.404,0.114,-2.565,0.551,-0.009,0.031,10.684
0.206,0.207,20.662,0.114,0.259,0.244,0.008,0.029,9.363
0.148,0.1497,19.741,0.114,-0.845,0.332,-0.155,0.029,10.821
0.369,0.371,22.21,0.131,-1.193,0.603,-0.221,0.051,10.479
0.275,0.277,21.533,0.127,0.276,0.625,-0.016,0.054,10.64
